Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
357,ZINC000000007507_docked,N/A,-5.500,ZINC000000007507_docked.dlg,True
358,ZINC000000005232_docked,N/A,-5.500,ZINC000000005232_docked.dlg,True
359,ZINC000000001601_docked,N/A,-5.480,ZINC000000001601_docked.dlg,True
360,ZINC000000004085_docked,N/A,-5.480,ZINC000000004085_docked.dlg,True
361,ZINC000000000744_docked,N/A,-5.460,ZINC000000000744_docked.dlg,False
362,ZINC000000000451_docked,N/A,-5.460,ZINC000000000451_docked.dlg,True
363,ZINC000000002756_docked,N/A,-5.430,ZINC000000002756_docked.dlg,True
364,ZINC000000000437_docked,N/A,-5.420,ZINC000000000437_docked.dlg,True
365,ZINC000000002868_docked,N/A,-5.400,ZINC000000002868_docked.dlg,False
366,ZINC000000000234_docked,N/A,-5.370,ZINC000000000234_docked.dlg,True
367,ZINC000000004396_docked,N/A,-5.360,ZINC000000004396_docked.dlg,True
368,ZINC000000003741_docked,N/A,-5.350,ZINC000000003741_docked.dlg,True
369,ZINC000000006909_docked,N/A,-5.340,ZINC000000006909_docked.dlg,True
370,ZINC000000000693_docked,N/A,-5.340,ZINC000000000693_docked.dlg,True
371,ZINC000000006784_docked,N/A,-5.330,ZINC000000006784_docked.dlg,True
372,ZINC000000003544_docked,N/A,-5.320,ZINC000000003544_docked.dlg,True
373,ZINC000000002698_docked,N/A,-5.320,ZINC000000002698_docked.dlg,True
374,ZINC000000001797_docked,N/A,-5.310,ZINC000000001797_docked.dlg,True
375,ZINC000000003750_docked,N/A,-5.280,ZINC000000003750_docked.dlg,True
376,ZINC000000001219_docked,N/A,-5.260,ZINC000000001219_docked.dlg,True
377,ZINC000000001901_docked,N/A,-5.220,ZINC000000001901_docked.dlg,True
378,ZINC000000000665_docked,N/A,-5.190,ZINC000000000665_docked.dlg,True
379,ZINC000000001726_docked,N/A,-5.190,ZINC000000001726_docked.dlg,False
380,ZINC000000003868_docked,N/A,-5.180,ZINC000000003868_docked.dlg,True
381,ZINC000000002755_docked,N/A,-5.180,ZINC000000002755_docked.dlg,True
382,ZINC000000005970_docked,N/A,-5.160,ZINC000000005970_docked.dlg,True
383,ZINC000000001288_docked,N/A,-5.150,ZINC000000001288_docked.dlg,True
384,ZINC000000000015_docked,N/A,-5.130,ZINC000000000015_docked.dlg,True
385,ZINC000000001074_docked,N/A,-5.130,ZINC000000001074_docked.dlg,False
386,ZINC000000001349_docked,N/A,-5.130,ZINC000000001349_docked.dlg,True
387,ZINC000000002910_docked,N/A,-5.050,ZINC000000002910_docked.dlg,True
388,ZINC000000002913_docked,N/A,-5.040,ZINC000000002913_docked.dlg,True
389,ZINC000000002014_docked,N/A,-5.030,ZINC000000002014_docked.dlg,True
390,ZINC000000000791_docked,N/A,-5.020,ZINC000000000791_docked.dlg,True
391,ZINC000000001045_docked,N/A,-5.010,ZINC000000001045_docked.dlg,True
392,ZINC000000002754_docked,N/A,-4.890,ZINC000000002754_docked.dlg,True
393,ZINC000000001465_docked,N/A,-4.760,ZINC000000001465_docked.dlg,False
394,ZINC000000002067_docked,N/A,-4.670,ZINC000000002067_docked.dlg,True
395,ZINC000000000048_docked,N/A,-4.590,ZINC000000000048_docked.dlg,True
396,ZINC000000004046_docked,N/A,-4.470,ZINC000000004046_docked.dlg,True
397,ZINC000000000135_docked,N/A,-4.400,ZINC000000000135_docked.dlg,True
398,ZINC000000001091_docked,N/A,-4.280,ZINC000000001091_docked.dlg,True
399,ZINC000000000351_docked,N/A,-3.370,ZINC000000000351_docked.dlg,True
400,ZINC000000000353_docked,N/A,-3.260,ZINC000000000353_docked.dlg,True
